slug,name,status,platform,price_label,price,price_note,cta_text,stripe_price_id,success_url,cancel_url,store_serp_co_product_page_url,apps_serp_co_product_page_url,serply_link,categories,keywords
camsoda-downloader,Camsoda Downloader,draft,Camsoda,One-time payment,$17.00,,Get it Now,price_1S99wk06JrOmKRCm2XTuWuu0,https://store.serp.co/product-details/product/camsoda-downloader?checkout=success,https://store.serp.co/product-details/product/camsoda-downloader,https://store.serp.co/product-details/product/camsoda-downloader,https://apps.serp.co/camsoda-downloader,https://serp.ly/camsoda-downloader,Downloader;Adult;Livestream,camsoda downloader
canva-downloader,Canva Downloader,draft,Canva,One-time payment,$17.00,,Get it Now,price_1S99wk06JrOmKRCmiqfoFkqm,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=canva-downloader,https://store.serp.co/product-details/product/canva-downloader,https://apps.serp.co/canva-downloader,https://serp.ly/canva-downloader,Downloader;Creative Assets,canva downloader
chaturbate-downloader,Chaturbate Downloader,draft,Chaturbate,One-time payment,$17.00,,Get it Now,price_1S99wl06JrOmKRCmpsVjKERK,https://store.serp.co/product-details/product/chaturbate-downloader?checkout=success,https://store.serp.co/product-details/product/chaturbate-downloader,https://store.serp.co/product-details/product/chaturbate-downloader,https://apps.serp.co/chaturbate-downloader,https://serp.ly/chaturbate-downloader,Downloader;Adult;Livestream,chaturbate downloader
circle-downloader,Circle Downloader,draft,Circle,One-time payment,$17.00,,Get it Now,price_1S99wl06JrOmKRCmy32X7AjP,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=circle-downloader,https://store.serp.co/product-details/product/circle-downloader,https://apps.serp.co/circle-downloader,https://serp.ly/circle-downloader,Downloader;Social Media,circle downloader
clientclub-downloader,Clientclub Downloader,draft,Clientclub,One-time payment,$17.00,,Get it Now,price_1S99wm06JrOmKRCmaau6Xiqv,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=clientclub-downloader,https://store.serp.co/product-details/product/clientclub-downloader,https://apps.serp.co/clientclub-downloader,https://serp.ly/clientclub-downloader,Downloader;Course Platforms,clientclub downloader
coursera-downloader,Coursera Downloader,draft,Coursera,One-time payment,$17.00,,Get it Now,price_1S99wn06JrOmKRCmwkYTxZBx,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=coursera-downloader,https://store.serp.co/product-details/product/coursera-downloader,https://apps.serp.co/coursera-downloader,https://serp.ly/coursera-downloader,Downloader;Course Platforms,coursera downloader
dailymotion-downloader,Dailymotion Downloader,draft,Dailymotion,One-time payment,$17.00,,Get it Now,price_1S99wo06JrOmKRCmtEGHbI2T,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=dailymotion-downloader,https://store.serp.co/product-details/product/dailymotion-downloader,https://apps.serp.co/dailymotion-downloader,https://serp.ly/dailymotion-downloader,Downloader;Social Media,dailymotion downloader
depositphotos-downloader,Depositphotos Downloader,draft,Depositphotos,One-time payment,$17.00,,Get it Now,price_1S99wo06JrOmKRCmO7Fe7LYG,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=depositphotos-downloader,https://store.serp.co/product-details/product/depositphotos-downloader,https://apps.serp.co/depositphotos-downloader,https://serp.ly/depositphotos-downloader,Downloader;Creative Assets,depositphotos downloader
deviantart-downloader,Deviantart Downloader,draft,Deviantart,One-time payment,$17.00,,Get it Now,price_1S99wp06JrOmKRCmxPZvi7YP,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=deviantart-downloader,https://store.serp.co/product-details/product/deviantart-downloader,https://apps.serp.co/deviantart-downloader,https://serp.ly/deviantart-downloader,Downloader;Creative Assets;Image Hosting,deviantart downloader
dreamstime-downloader,Dreamstime Downloader,draft,Dreamstime,One-time payment,$17.00,,Get it Now,price_1S99wq06JrOmKRCmT1rrKjcd,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=dreamstime-downloader,https://store.serp.co/product-details/product/dreamstime-downloader,https://apps.serp.co/dreamstime-downloader,https://serp.ly/dreamstime-downloader,Downloader;Creative Assets,dreamstime downloader
