Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior,created_by (metadata),internal_id (metadata),location_id (metadata)
price_1S99Rs06JrOmKRCmhrxh5TNP,prod_SrFXZQk2CU0WGK,Copy of Copy of Copy of PH Downloader,,,copy-of-copy-of-copy-of-ph-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rs06JrOmKRCmdKA2brz6,prod_SrFXXNU3D1C4sV,Copy of Copy of Copy of Copy of Copy of PH Downloader,,,copy-of-copy-of-copy-of-copy-of-copy-of-ph-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rs06JrOmKRCmP7ITXxPG,prod_SjvRU1nV7NdAMq,Communities - SERP University,,,communities-serp-university,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rr06JrOmKRCmE9MJGOiW,prod_Sv6GczG0ICERN2,Clientclub Downloader,,,clientclub-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rr06JrOmKRCm1eKdEYVB,prod_Sv6GgA8fIyGRZw,Circle Downloader,,,circle-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rq06JrOmKRCmAAvqILfm,prod_Sv6GAbSNbfr3x7,Chaturbate Downloader,,,chaturbate-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rq06JrOmKRCmQaZDJ3hS,prod_Sv6GugZtWf3Eu1,Canva Downloader,,,canva-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rq06JrOmKRCmzZdurBVO,prod_Sv6GrjNz6x90cJ,Camsoda Downloader,,,camsoda-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rp06JrOmKRCmmdRG9Jau,prod_Sv6GKT2oCFAdHg,Bongacams Downloader,,,bongacams-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Rp06JrOmKRCmqpg3uKKt,prod_Sv6GqeBI3EsPvp,Bilibili Downloader,,,bilibili-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
price_1S99Ro06JrOmKRCmftXlWA84,prod_SrFXohJZGLtPyv,Beeg Video Downloader,Extension License Key,,beeg-video-downloader,2025-09-19 18:54,17.00,usd,,,,,per_unit,,unspecified,,,
